Cpu0  :  5.2%us, 10.4%sy,  1.5%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.5%si, 24.6%st
Cpu0  :  5.2%us, 10.4%sy,  1.5%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.5%si, 24.6%st
Cpu0  :  5.2%us, 10.4%sy,  1.5%ni, 54.0%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.4%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.4%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.4%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.4%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.7%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.6%st
Cpu0  :  5.2%us, 10.5%sy,  1.5%ni, 53.9%id,  1.8%wa,  0.0%hi,  2.5%si, 24.6%st
