Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.3%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.3%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.3%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.3%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.3%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.3%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.3%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.3%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.7%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.4%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.5%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.6%id,  2.0%wa,  0.0%hi,  2.8%si, 24.5%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.5%id,  2.0%wa,  0.0%hi,  2.8%si, 24.5%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.5%id,  2.0%wa,  0.0%hi,  2.8%si, 24.5%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.5%id,  2.0%wa,  0.0%hi,  2.8%si, 24.5%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.5%id,  2.0%wa,  0.0%hi,  2.8%si, 24.5%st
Cpu0  :  5.4%us, 11.1%sy,  1.8%ni, 52.5%id,  2.0%wa,  0.0%hi,  2.8%si, 24.5%st
